,offense,defense,scoring,elapsed,plays,start_yards_to_goal,yards,drive_result,off_points_gained
253,Utah,TCU,0,3.6666666666666665,6,87,38,PUNT,0
254,TCU,Utah,0,2.6833333333333336,8,86,28,PUNT,0
255,Utah,TCU,0,5.433333333333334,10,85,49,PUNT,0
256,TCU,Utah,0,1.5833333333333335,4,80,18,PUNT,0
257,Utah,TCU,0,1.5333333333333332,3,74,1,PUNT,0
258,TCU,Utah,0,4.416666666666667,9,56,47,FG MISSED,0
259,Utah,TCU,0,0.26666666666666666,3,80,0,PUNT,0
260,TCU,Utah,0,2.75,6,48,30,FG MISSED,0
261,Utah,TCU,1,2.0166666666666666,9,80,80,PASSING TD,6
262,TCU,Utah,0,0.6,6,78,30,INT,0
263,Utah,TCU,0,0.18333333333333332,1,85,-2,END OF GAME,0
264,San Diego State,Utah,0,0.16666666666666666,1,80,33,FUMBLE,0
265,Utah,San Diego State,1,3.283333333333333,7,53,53,PASSING TD,6
266,San Diego State,Utah,0,4.533333333333333,11,85,55,FG MISSED,0
267,Utah,San Diego State,1,4.333333333333333,12,70,70,PASSING TD,6
268,San Diego State,Utah,0,2.183333333333333,3,74,4,PUNT,0
269,Utah,San Diego State,1,0.5833333333333334,2,40,40,PASSING TD,6
270,San Diego State,Utah,0,1.9333333333333333,3,69,-7,PUNT,0
271,Utah,San Diego State,0,1.15,4,70,13,INT,0
272,San Diego State,Utah,1,0.8166666666666667,2,41,41,PASSING TD,6
273,Utah,San Diego State,1,5.833333333333333,11,44,44,PASSING TD,6
274,San Diego State,Utah,0,2.716666666666667,5,70,22,PUNT,0
275,Utah,San Diego State,1,2.216666666666667,11,83,83,PASSING TD,6
276,San Diego State,Utah,0,0.25,2,64,0,END OF HALF,0
277,Utah,San Diego State,0,4.65,12,67,62,TURNOVER ON DOWNS,0
278,San Diego State,Utah,1,7.116666666666666,17,95,95,PASSING TD,6
279,Utah,San Diego State,1,5.533333333333333,11,77,77,RUSHING TD,6
280,San Diego State,Utah,0,1.5666666666666667,3,82,8,PUNT,0
281,Utah,San Diego State,1,2.1333333333333333,5,65,65,RUSHING TD,6
282,San Diego State,Utah,1,3.0166666666666666,7,78,59,INT,0
284,San Diego State,Utah,1,1.1666666666666667,3,80,8,INT,0
286,San Diego State,Utah,0,1.25,4,78,12,PUNT,0
287,Utah,San Diego State,0,3.5666666666666664,5,83,25,END OF GAME,0
288,Utah,BYU,1,5.2,12,80,60,FG GOOD,3
289,BYU,Utah,1,1.35,4,30,8,FG GOOD,3
290,Utah,BYU,1,4.033333333333333,10,80,80,PASSING TD,6
291,BYU,Utah,0,2.3166666666666664,5,80,13,PUNT,0
292,Utah,BYU,1,3.3666666666666667,8,66,71,RUSHING TD,6
293,BYU,Utah,1,3.1,7,68,68,RUSHING TD,6
294,Utah,BYU,0,1.5666666666666667,3,80,4,PUNT,0
